"lsoa21_code","analysis","official_rank","official_decile","rank_p05","rank_median","rank_p95","rank_p90_interval_width","same_decile_probability","probability_most_deprived_10pct","probability_most_deprived_20pct"
"E01000289","Weights +/-25%",6120,2,5620.9,6125.5,6628,1007.1,0.982,0,0.982
"E01000290","Weights +/-25%",15501,5,15059.75,15497,15971.05,911.299999999999,1,0,0
"E01000291","Weights +/-25%",14521,5,14019.95,14527.5,15062.15,1042.2,1,0,0
"E01000292","Weights +/-25%",24553,8,24095,24549,24998.05,903.049999999999,1,0,0
"E01000293","Weights +/-25%",25879,8,25034,25900,26744.75,1710.75,0.994,0,0
"E01000294","Weights +/-25%",18828,6,18279,18819,19398.25,1119.25,1,0,0
"E01000295","Weights +/-25%",22747,7,22051.85,22753,23483.05,1431.2,0.978,0,0
"E01000296","Weights +/-25%",16400,5,15842.6,16437,17036.05,1193.45,0.885,0,0
"E01000297","Weights +/-25%",18747,6,18059,18762.5,19503.95,1444.95,0.999,0,0
"E01000298","Weights +/-25%",16734,5,16046.95,16733,17430.45,1383.5,0.614,0,0
"E01000299","Weights +/-25%",12857,4,12272.95,12880.5,13464.05,1191.1,0.961,0,0
"E01000300","Weights +/-25%",22827,7,22207.5,22834.5,23516.45,1308.95,0.97,0,0
"E01000301","Weights +/-25%",29247,9,28881.95,29255.5,29627,745.049999999999,1,0,0
"E01000302","Weights +/-25%",12710,4,12291,12742,13190.2,899.200000000001,0.997,0,0
"E01000303","Weights +/-25%",30965,10,30714,30968,31204.05,490.049999999999,1,0,0
"E01000304","Weights +/-25%",21218,7,20725.9,21237,21753.1,1027.2,1,0,0
"E01000305","Weights +/-25%",8458,3,7864.75,8472.5,9081.1,1216.35,1,0,0
"E01000306","Weights +/-25%",12774,4,11698.75,12825.5,13870.15,2171.4,0.862,0,0
